objname p  u g r i z j h k w1 w2 w3 w4
004712.57-084330.8        1936      0.1406047      0.1645353      0.1525754      0.1659648      0.1927020      0.1638658      0.2431643      0.3829397      0.6164769      0.9776655      1.8092680      4.5411105
004930.90+153216.3        2039      0.3422941      0.2735239      0.3525890      0.4848373      0.5033830      0.7428280      1.0192950      1.6395715      2.5160356      3.0604854      4.8921852     11.5760956
005118.28+135448.1        2110      0.3830009      0.4239408      0.5010557      0.7247499      0.6965225      0.7799885      0.9636068      1.2143122      1.9351596      2.7681544      8.1190071     17.2171822
005121.26+004521.6        2113      0.1237085      0.1722199      0.2046165      0.2213785      0.2492840      0.3096622      0.2700846      0.3871956      0.8201944      1.2139207      2.9614398      5.2186971
005205.56+003538.1        2147      0.7092512      1.1099548      1.3947179      1.6492556      2.1195080      1.8050458      1.5728955      1.6215501      2.1238155      2.5953164      7.4319520     24.2081776
005232.43+005123.0        2164      0.0352209      0.0711449      0.1041444      0.1284309      0.1631917      0.2428221      0.3428466      0.4676602      0.7584323      0.9758663      2.1453736      6.5760045
005244.23-005721.7        2176      0.0817335      0.1223524      0.1300417      0.1342591      0.1537226      0.2198306      0.2586425      0.3933058      1.4558505      2.1766586      3.7454405      9.2632227
005328.81-085755.1        2200      0.2456970      0.2731713      0.3448488      0.3760936      0.4798199      0.5461202      0.6267580      0.9093485      1.1259440      1.5899750      5.0711083     12.9408293
005434.92+145528.7        2233      0.4746789      0.4952073      0.5227774      0.4914233      0.5179192      0.4885266      0.5565445      0.5838891      1.0862175      1.8475249      4.2530737     11.4067545
005441.19+000110.6        2235      0.1530381      0.2057912      0.2104149      0.2726187      0.2794103      0.3001153      0.4412654      0.6666999      1.7326738      2.9173620      8.8777504     23.0124092
005446.22+140019.0        2238      0.1736200      0.2392690      0.2611929      0.3101500      0.3301632      0.4100985      0.4557219      0.6396323      0.7811183      1.0408552      2.5182736      5.9369321
005548.84+002939.3        2282      0.1103569      0.1273714      0.1227349      0.1330025      0.1476807      0.2251584      0.2758671      0.4171866      1.0478927      1.4554266      3.6299689      7.6835532
005550.75-101905.7        2283      0.1174897      0.1424578      0.1677496      0.1687802      0.3212024      0.2278706      0.3235191      0.3995125      0.5344620      0.6953290      0.8454792      3.5773554
005704.42+141759.3        2332      0.1271745      0.1276654      0.1590297      0.1605935      0.2583990      0.2446179      0.4288445      0.7459855      0.7514789      0.9362467      2.5793061      5.8608699
005709.94+144610.1        2339      1.4441084      1.4847199      1.6553539      2.6915576      2.1826370      3.6048586      5.2420344      9.4608555     16.8235168     24.6257973     52.5173645    108.3333282
005729.13-093258.4        2355      0.1630797      0.1924055      0.1895460      0.2213595      0.2163161      0.3345709      0.2854302      0.4794357      1.0852175      1.8221759      4.7676339     10.4607325
005737.71+144259.4        2360      0.1086425      0.1221084      0.1686733      0.2221711      0.2437334      0.3051323      0.5963481      0.7711349      0.7840013      0.9492712      2.5556591      6.1995773
005812.84+160201.4        2380      0.3919223      0.6534889      0.9666061      1.3271854      1.2075710      1.5292842      2.3115318      3.6705437      6.8095245      9.3108711     19.1382809     51.2816620
005838.95-102651.3        2396      0.1293005      0.1913269      0.2089507      0.2474742      0.2976745      0.2573287      0.3412714      0.4789943      0.5684821      0.7801719      1.9747081      4.5494833
005905.51+000651.6        2408      0.3296094      0.4187289      0.4180834      0.3856505      0.4431262      0.4916864      0.4304273      0.9110252      1.4652671      2.3844614      5.8925452     16.3366165
005916.10+153816.1        2415      0.0895365      0.0986075      0.1149787      0.1225721      0.2106864      0.2333932      0.4352110      0.5535163      0.7633379      0.8468184      1.8840954      6.9496365
005921.37+004108.8        2421      0.0875789      0.0984414      0.0963727      0.1159038      0.1321931      0.2375135      0.3115300      0.3630199      0.5637892      0.7673444      2.2258859      4.4705615
010002.32+001642.5        2448      0.2986756      0.4055738      0.4225299      0.3978246      0.4645755      0.5977069      0.4710856      0.4421100      1.2176341      2.4131832      7.2494140     18.9828796
010033.50+002200.1        2458      0.2058733      0.2713619      0.2594582      0.2196968      0.2504086      0.2259895      0.3089583      0.4050703      0.9504227      1.3860863      3.2802196      8.1726351
010112.06-094500.8        2478      0.1973331      0.2175304      0.2178610      0.2096765      0.3601553      0.3218757      0.4268742      0.6052439      0.7619330      1.0256290      2.3115480      6.2858224
010113.03-092742.1        2479      1.1271967      1.2102808      1.1734414      1.0397332      1.6412653      1.0057458      1.2702812      1.7263560      3.7283509      5.2794695      8.7720861     17.0436306
010131.16+133145.8        2489      0.2220240      0.2996147      0.3392821      0.3266522      0.3611641      0.4358010      0.4928331      0.5320230      0.9988880      1.7178700      3.9875202      8.3707056
010151.08+002028.9        2501      0.0839459      0.1204739      0.1532508      0.1546834      0.2371358      0.1864182      0.3362791      0.5320230      1.0411583      1.5929066      3.2026014      7.3851972
010204.37-103805.8        2510      0.0955873      0.1134079      0.1625850      0.1639782      0.2981017      0.3171672      0.5758374      0.8740381      0.6497059      0.9073823      2.6127803      3.8438115
010205.89+001156.9        2511      0.3904811      0.5110053      0.5748655      0.5820866      0.6576195      0.6608277      0.7103950      0.9356865      1.2379891      1.7546492      4.6036563     12.1888323
010209.82+133152.8        2515      0.2114461      0.2408004      0.2546680      0.2543594      0.3427827      0.3351878      0.6308119      0.7697157      1.2289007      1.7417680      4.7195754     16.5791435
010226.31-003904.6        2523      1.5416989      1.5088733      1.6201047      1.3724414      1.9136723      1.4089261      1.7959733      2.8862264      6.3025570      9.2851791     20.6396770     44.1735268
010230.03-003206.8        2527      0.0772681      0.0755269      0.1010800      0.1041722      0.1820123      0.3480873      0.4152406      0.4332418      0.5047970      0.6191421      1.7246577      3.7390571
010342.73+002537.2        2564      0.4269727      0.5021411      0.5267039      0.5402414      0.7270682      0.6849963      0.9761125      1.5890237      3.5638285      4.7401304      6.9359012     17.8140259
010352.46+003739.7        2572      0.1928412      0.3458485      0.4371809      0.5036417      0.5834160      0.5371409      0.6828100      1.5499953      5.0386801      9.1157055     23.5669250     58.0179100
010407.00+011412.9        2582      0.0802416      0.0865920      0.1168716      0.1340237      0.2238427      0.3675261      0.4767601      0.7323697      0.9434454      1.2421966      4.6806149     12.2225580
010448.57-091013.0        2599      0.1993425      0.2686481      0.2650917      0.2970776      0.3331026      0.3398507      0.4706520      0.7682992      1.3941734      2.2479689      6.3372803     13.1208534
010509.30+005258.7        2610      0.1671859      0.2208768      0.2167592      0.2286609      0.2208598      0.2253659      0.2527550      0.3000063      0.7832795      1.2240250      2.4182596      4.6511688
010644.15-103410.5        2661      0.2263602      0.2717779      0.2269830      0.2729679      0.3143434      0.3513081      0.5075746      0.4328430      1.1218035      1.5783027      4.1562619     11.3438921
010715.34-085212.2        2685      0.1198947      0.1719510      0.1551069      0.1798265      0.1713371      0.2829360      0.3406433      0.4091950      0.6479132      1.0059822      2.7233465      9.7985563
010715.97-083429.3        2686      0.0905315      0.1005756      0.1265036      0.1344293      0.2055640      0.2951809      0.2490576      0.4759161      0.7542526      0.9048786      1.6622752      5.6958966
010737.01-001911.6        2698      0.1901952      0.2326470      0.2239927      0.2245938      0.2293767      0.2423752      0.2997091      0.5339866      0.9287884      1.6756769      3.9436913     10.8633080
010842.45-091241.7        2734      0.1034666      0.1252228      0.1268354      0.1430163      0.2135227      0.2064849      0.4445288      0.5806713      0.6485102      0.7505684      1.5772586      3.8473535
010900.36+151217.5        2744      0.2696495      0.3885205      0.4730351      0.5405821      0.7238598      0.6481689      0.6290713      0.8416477      0.7619330      1.1287307      3.4348116      9.3489342
010933.91+152559.0        2774      0.1397010      0.1230785      0.1709959      0.2312874      0.2583811      0.4181077      0.7570069      1.1976513      1.7215387      2.1606793      3.2411783      6.2110081
011012.45-092638.9        2788      0.0907819      0.1095533      0.1144633      0.1246344      0.1716821      0.2362045      0.1865090      0.6285363      0.7647452      1.0322628      2.9100664      5.5559983
011018.18-101138.2        2790      0.0193553      0.0253651      0.0582289      0.0770307      0.1220522      0.3148388      0.5033845      0.4861053      0.3718064      0.3468888      0.5271120      1.9335798
011110.04-101631.8        2822      0.6047838      0.5894506      0.7948989      1.0953161      1.0411553      1.9466516      2.7208204      4.0172639      6.7595344      8.4837980     16.9473934     37.4940262
011132.32+133519.1        2833      0.4088840      0.5523785      0.4587111      0.5174448      0.4472449      0.3963585      0.4276612      0.6624153      1.7041852      2.6754098      5.1321921      8.9035273
011238.88-083502.0        2865      0.1382928      0.1444513      0.1732966      0.1894820      0.3184981      0.3813188      0.4396427      0.7833040      0.9743540      1.1475993      2.1592500      5.4949293
