# WISE W3 and W4 synthesis photometry flux from the Spitzer/IRS spectra
# objname     tag        f_{W3, tot}    f_{W4, tot}    f_{W3, AGN}   f_{W4, AGN}
saga-452      1      6.9117837      4.1089988      7.0007777      4.1698046
saga-453      1      7.8488407      5.6353521      8.4367409      6.5536442
saga-458      1      7.5629101      5.5689096      7.5629101      5.5689096
saga-459      1      7.2394700      3.9596822      7.4697967      4.0590796
saga-461      1      7.5477753      5.0477400      7.5477753      5.0477400
saga-466      1      6.7760563      3.8862324      7.2259197      4.1385612
saga-468      1      9.5844440      7.2156119      9.5844440      7.2156119
saga-470      1      8.9636898      6.7219768      9.3143158      7.2165117
saga-474      1      7.3382344      4.3310080      7.6602836      4.4828830
saga-475      1      9.6530361      7.5792899      9.6530361      7.5792899
saga-481      1      7.0202637      4.5466499      7.0624366      4.5833406
saga-483      1      6.6052742      4.3163223      6.6413980      4.3612704
saga-485      1      5.6224279      3.3501706      5.7515359      3.4983387
saga-490      1      6.4651089      4.0088964      6.6679220      4.2302766
saga-493      1      6.2742996      4.0043182      8.0103283           -NaN
saga-497      1      8.2576227      5.6009436      8.8398981      6.1144228
saga-500      1      7.0182099      5.2288718      7.1534791      5.5401578
saga-504      1      9.5302219      7.2560682     10.0637617      7.8795204
saga-505      1      7.1765032      4.5238843      7.1765032      4.5238843
saga-506      1      6.5639310      4.3644242      6.7433963      4.5686960
saga-516      1      7.0100389      4.6586070      7.2130485      4.8543730
saga-519      1      9.6542864      7.2089581      9.6542864      7.2089581
saga-520      1     10.1066751      7.2206144     10.1066751      7.2206144
saga-532      1      8.0720015      5.9874806      8.0720015      5.9874806
saga-537      1      5.9294939      3.1310394      6.0793266      3.2438531
saga-540      1      7.2624106      4.2129245      8.1856661      4.6754560
saga-541      1      7.3091030      4.4444351      7.5454574      4.6014633
saga-544      1      6.8666048      4.2052660      7.0927997      4.3808274
saga-562      1      8.6077881      6.6965361      9.0051460      7.2798238
saga-565      1     11.0742350      9.3630247     11.0742350      9.3630247
saga-569      1      7.7579350      5.6553502      9.5352430           -NaN
saga-573      1      6.8360076      4.3700595      6.8360076      4.3700595
saga-574      1      5.0286965      2.3179410      5.6193552      2.8086693
saga-575      1      7.8174758      5.0397673      8.7104664      5.5815005
saga-577      1      7.2160249      4.1573362      7.6633830      4.3700929
saga-578      1      7.7723079      6.1982479      7.7723079      6.1982479
saga-582      1      7.3131495      5.2059908      7.3588886      5.2736554
saga-583      1      6.4123054      4.0497122      6.5457087      4.1731362
saga-590      1      6.0386162      4.0530715      6.0386162      4.0530715
saga-592      1      9.5036678      7.3518209     10.0752716      8.1785727
altas-8      0      0.0000000      0.0000000      0.0000000      0.0000000
altas-10      1      7.4369998      5.1206079      7.4369998      5.1206079
altas-12      1      7.2019997      5.1510215      7.2019997      5.1510215
altas-14      1      7.9870000      6.1942239      7.9870000      6.1942239
altas-38      1      8.9540377      6.9335227      8.9845343      6.9994550
altas-63      1      8.7559633      6.4604192      8.8654385      6.5496473
altas-64      1      9.0879993      7.0371943      9.0879993      7.0371943
altas-71      1      8.3850002      6.1582804      8.3850002      6.1582804
altas-72      1      8.6060553      6.3664470      8.6060553      6.3664470
altas-77      1      9.3680000      6.9916978      9.3680000      6.9916978
altas-78      1      9.2320013      6.6879539      9.2320013      6.6879539
altas-79      1      8.5877905      6.4106317      8.5877905      6.4106317
altas-80      0      0.0000000      0.0000000      0.0000000      0.0000000
altas-109      1     11.0640001      8.6599503     11.0640001      8.6599503
altas-115      1     11.1329994      9.1702890     11.1329994      9.1702890
altas-122      1     10.8459997      8.5372162     10.8459997      8.5372162
altas-130      0      0.0000000      0.0000000      0.0000000      0.0000000
altas-135      0      0.0000000      0.0000000      0.0000000      0.0000000
altas-136      1     10.7740021      8.9299355     10.7740021      8.9299355
altas-144      1     10.4709978      8.3675508     10.4709978      8.3675508
altas-145      1     10.5210009      8.2090931     10.5210009      8.2090931
altas-146      1     10.8889980      8.8880386     10.8889980      8.8880386
altas-150      1     10.6779995      8.3079348     10.6779995      8.3079348
altas-165      1     10.1549978      8.1941519     10.1549978      8.1941519
altas-169      1     10.0140018      7.7682934     10.0140018      7.7682934
altas-191      1      6.2480001      4.0046883      6.2887325      4.0425048
altas-206      0      0.0000000      0.0000000      0.0000000      0.0000000
