# sample-id:  pg --- Palomar-Green Quasars
#             altasXdr7qso --- AGN sample matched from ALTAS and Shen+11 SDSS DR7 Quasar catalog
#             altasXdr7sy1 --- AGN sample matched from ALTAS and Broad-line AGNs in the SDSS DR7 Main Galaxy Sample
#             cassisXdr7qso --- AGN sample matched from CASSIS and Shen+11 SDSS DR7 Quasar catalog
#             cassisXdr7sy1 --- AGN sample matched from CASSIS and Broad-line AGNs in the SDSS DR7 Main Galaxy Sample
#
# objname RA  Dec  sample-id
altas-603 137.8650360 5.8483610 altasXdr7qso
altas-605 257.8235779 58.6899452 altasXdr7qso
altas-606 257.8622437 58.9289436 altasXdr7qso
altas-607 258.3917847 59.8411942 altasXdr7qso
altas-608 259.4037781 59.5031929 altasXdr7qso
altas-609 259.4517822 59.8057213 altasXdr7qso
altas-610 259.5755920 58.8181114 altasXdr7qso
altas-611 12.5408754 -0.6501667 altasXdr7qso
altas-614 123.2212067 40.3166389 altasXdr7qso
altas-617 140.0587921 45.5325851 altasXdr7qso
altas-618 159.9645386 64.5011673 altasXdr7qso
altas-36 208.0741730 31.4462509 altasXdr7sy1
altas-58 206.8887482 12.2900000 altasXdr7sy1
altas-81 233.7379150 23.5030556 altasXdr7sy1
altas-247 19.7820835 -8.4861107 altasXdr7sy1
altas-268 160.1216736 10.8883333 altasXdr7sy1
altas-278 181.1020813 19.4194450 altasXdr7sy1
altas-442 206.1754150 55.8869438 altasXdr7sy1
altas-511 179.1170807 55.1252785 altasXdr7sy1
cassis-26329600-0 124.2176208 42.9748116 cassisXdr7qso
cassis-25387776-0 243.1600494 53.3817749 cassisXdr7qso
cassis-25391104-0 261.3424683 59.8804779 cassisXdr7qso
cassis-17726464-0 39.2513123 -1.0253712 cassisXdr7qso
cassis-10493696-0 216.7205048 33.3897781 cassisXdr7qso
cassis-25389568-0 162.5047607 59.1863747 cassisXdr7qso
cassis-26702848-0 115.2946091 31.2000790 cassisXdr7qso
cassis-25387264-0 163.6968994 58.3193550 cassisXdr7qso
cassis-25388800-0 160.4794159 57.2676620 cassisXdr7qso
cassis-4733952-0 239.7299652 33.3885727 cassisXdr7qso
cassis-4738816-0 208.9592285 20.7708168 cassisXdr7qso
cassis-21768960-0 239.1406708 35.2994232 cassisXdr7qso
cassis-24169984-0 159.5137939 57.4508095 cassisXdr7qso
cassis-4732160-0 194.2497101 4.4594808 cassisXdr7qso
cassis-15083008-0 230.4152679 3.6247625 cassisXdr7qso
cassis-24158208-3 164.9998779 57.8133354 cassisXdr7qso
cassis-25977344-0 200.3354950 57.7164154 cassisXdr7qso
cassis-27446272-0 150.6332855 2.5939991 cassisXdr7qso
cassis-26919936-0 217.3637848 52.6470337 cassisXdr7qso
cassis-25977088-0 228.2822876 60.9992256 cassisXdr7qso
cassis-26328576-0 14.5535955 16.0337906 cassisXdr7qso
cassis-25977856-0 164.9634399 9.1513767 cassisXdr7qso
cassis-27450368-0 150.0542755 2.5895324 cassisXdr7qso
cassis-26335488-0 355.7473450 13.7971439 cassisXdr7qso
cassis-26332672-0 224.0359192 27.8358421 cassisXdr7qso
cassis-24153344-3 161.7712555 59.1245384 cassisXdr7qso
cassis-24143104-3 162.7756195 59.2736664 cassisXdr7qso
cassis-24143104-4 162.9939728 59.1144447 cassisXdr7qso
cassis-25390848-0 242.4612427 53.4860573 cassisXdr7qso
cassis-25390592-0 219.0211639 33.7120132 cassisXdr7qso
cassis-26920192-0 42.6111336 0.1509738 cassisXdr7qso
cassis-25390336-0 217.7622986 32.6578407 cassisXdr7qso
cassis-25390080-0 217.4775391 33.0264473 cassisXdr7qso
cassis-25389824-0 216.8759155 32.6850967 cassisXdr7qso
cassis-25388288-0 240.0179138 55.0749893 cassisXdr7qso
cassis-21768448-0 183.6727905 -0.0271231 cassisXdr7qso
cassis-26917632-0 243.6047974 37.8696785 cassisXdr7qso
cassis-15083520-0 114.0964890 39.4382896 cassisXdr7qso
cassis-17725952-0 30.7456055 -0.4687264 cassisXdr7qso
cassis-15082496-0 139.9805908 55.3603058 cassisXdr7qso
cassis-10950400-0 130.1851654 36.5578804 cassisXdr7qso
cassis-10950913-0 161.2483978 36.9347725 cassisXdr7qso
cassis-24151040-0 241.7306061 53.6714211 cassisXdr7qso
cassis-24147712-0 240.3687286 54.7559013 cassisXdr7qso
cassis-24172288-0 239.9004059 54.7010460 cassisXdr7qso
cassis-24163072-0 260.6614380 58.8519440 cassisXdr7qso
cassis-24192768-0 257.8509216 59.5225563 cassisXdr7qso
cassis-12236800-0 193.3232574 31.0975246 cassisXdr7qso
cassis-17728512-0 192.1400757 56.5850182 cassisXdr7qso
cassis-15078912-0 216.9512787 5.0393605 cassisXdr7qso
cassis-24161280-2 248.2845459 40.5559273 cassisXdr7qso
cassis-24154624-2 249.2888641 41.6752205 cassisXdr7qso
cassis-4732416-0 231.4744110 51.6135521 cassisXdr7qso
cassis-4164352-0 139.7025146 21.2879562 cassisXdr7qso
cassis-4674304-0 127.9537048 4.4941268 cassisXdr7qso
cassis-24190464-1 241.6274567 54.3354454 cassisXdr7qso
cassis-24193536-1 257.6384583 58.7490883 cassisXdr7qso
cassis-21655552-0 218.0840607 33.2535095 cassisXdr7qso
cassis-17728000-0 164.5699921 10.4039536 cassisXdr7qso
cassis-18978560-0 186.2269287 21.3797455 cassisXdr7qso
cassis-17540352-0 138.7570648 24.3034439 cassisXdr7qso
cassis-17726720-0 116.5883026 33.8446999 cassisXdr7qso
cassis-17726976-0 117.6869125 21.4297314 cassisXdr7qso
cassis-17727744-0 122.5774002 25.1560345 cassisXdr7qso
cassis-17727488-0 118.9566574 32.2846222 cassisXdr7qso
cassis-22391040-0 168.4776917 12.7442961 cassisXdr7qso
cassis-17728256-0 178.4819183 58.4119339 cassisXdr7qso
cassis-17729536-0 322.1808167 0.4099396 cassisXdr7qso
cassis-24164096-0 247.7970123 40.8014183 cassisXdr7qso
cassis-24173312-0 159.3533020 58.0869637 cassisXdr7qso
cassis-24145408-0 164.2726593 58.0770607 cassisXdr7qso
cassis-21768192-0 178.6525726 3.0018520 cassisXdr7qso
cassis-17542912-0 197.6193695 32.3454056 cassisXdr7qso
cassis-17729024-0 236.3940277 57.6074371 cassisXdr7qso
cassis-17729792-0 347.7312317 -9.0187550 cassisXdr7qso
cassis-10476288-0 213.8913727 52.0994873 cassisXdr7qso
cassis-23015168-0 140.4975128 45.1534233 cassisXdr7qso
cassis-24192000-0 164.9653778 58.3007774 cassisXdr7qso
cassis-24160256-1 160.7318878 57.9305840 cassisXdr7qso
cassis-24194560-2 163.5170898 57.6722107 cassisXdr7qso
cassis-21768704-0 333.7997742 -0.7638041 cassisXdr7qso
cassis-22390272-0 128.5288696 35.1007767 cassisXdr7qso
cassis-21767680-0 216.7651672 27.1611691 cassisXdr7qso
cassis-26906624-0 138.2547302 52.9912605 cassisXdr7qso
cassis-25388032-0 162.9740906 56.8350754 cassisXdr7qso
cassis-25388544-0 159.8798065 58.2861137 cassisXdr7qso
cassis-25389056-0 160.3097992 57.8403435 cassisXdr7qso
cassis-26330368-0 146.6514587 20.9366379 cassisXdr7qso
cassis-25389312-0 160.9810638 56.4657784 cassisXdr7qso
cassis-25976832-0 151.0052490 42.5231209 cassisXdr7qso
cassis-26916096-0 162.7615509 52.8470955 cassisXdr7qso
cassis-26915840-0 132.7214355 44.8563271 cassisXdr7qso
cassis-25977600-0 147.6985321 48.0130959 cassisXdr7qso
cassis-24172032-2 261.5824890 60.2667198 cassisXdr7qso
